topic,description,example
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What's my current checking account balance?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",Can I get a copy of my last three months' bank statements?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",I need to update my mailing address for my savings account.
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What's the interest rate on my high-yield savings account?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",How do I change my phone number on file?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",I'd like to confirm my account number.
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",Can I access my account history from last year?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What are the details of my joint account?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",How can I view my credit score associated with my account?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",I need to get a proof of address for my account.
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What's the current value of my investment portfolio?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",Can you explain the different types of accounts available?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",I need to update my beneficiaries for my retirement account.
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",How do I enroll in e-statements for my credit card?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What is the routing number for my checking account?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",Can I get a summary of my account activity for tax purposes?
Account Details,"Information or requests related to existing customer accounts, such as balance, statements, or personal information updates.",What are the terms and conditions for my new savings account?
New Account,"Inquiries or processes related to opening new accounts, including checking, savings, or investment accounts.",I'd like to open a new joint checking account.
New Account,"Inquiries or processes related to opening new accounts, including checking, savings, or investment accounts.",What are the requirements to open a new business savings account?
