interactionid,User,label
5c69b568-4dd6-41c6-903a-90ab47256acf,"Hi Sarah, my name is Alice. What are the interest rates for personal loans? Can you provide me with some information?",Loan
a79cec64-9bd7-49a0-9657-81c80fd5ea4c,"Hi Sarah, my name is David, How long does it take to get approved for a loan? Could you furnish me with relevant details?",Loan
a8041599-b4bd-4adf-b490-cdf9b0498cb5,"Hi Sarah, my name is Emily,  What documents do I need to provide when applying for a loan? Would it be possible for you to share some insights?",Loan
41408428-a2f5-4516-8272-f99cdb5225d8,"Hi Sarah, my name is Michael,  Can I get a loan if I have bad credit? Might you be able to supply me with the necessary information?",Loan
b457f4b4-9060-4f05-b34f-61f41d003a9f,"Hi Sarah, my name is Alice. Are there any upfront fees or charges when applying for a loan? Is there a chance I could obtain some particulars from you?",Loan
dc6c15a4-a1aa-4531-b67d-ce42c44bd790,"Hi Sarah, my name is David, Can I use a loan to consolidate my existing debts? I'm interested in obtaining some data. Could you assist me?",Loan
5c261161-a7af-4c76-b683-247b717df970,"Hi Sarah, my name is Emily,  What's the difference between a fixed-rate and a variable-rate loan? Can you provide me with some information?",Loan
78b04cc6-b657-4a51-bf1a-0a78067d731b,"Hi Sarah, my name is Michael,  Can I pay off the loan early without any penalties? Could you furnish me with relevant details?",Loan
6ab0f3da-434b-4521-b561-76092f35b662,"Hi Sarah, my name is Alice. Do you offer loans for small businesses? Would it be possible for you to share some insights?",Loan
944370b0-d286-40d5-b6d1-677d0a8e9a5f,"Hi Sarah, my name is David, Can I get a loan for home renovation or remodeling? Might you be able to supply me with the necessary information?",HomeLoan
bcc164c7-1a71-4f7a-a8f2-fc256bb96003,"Hi Sarah, my name is Emily,  Can I use a loan to purchase a car? Is there a chance I could obtain some particulars from you?",AutoLoan
d60719f6-c2f2-4256-b8cb-fdb3d8c773a0,"Hi Sarah, my name is Michael,  What's the repayment term for personal loans? I'm interested in obtaining some data. Could you assist me?",Loan
4482f5d5-64bb-4ac9-87ca-03465397e0a0,"Hi Sarah, my name is Alice. Can I get a loan if I'm a student? Can you provide me with some information?",Loan
d15073e3-a740-4930-b742-34e3ecfa9edc,"Hi Sarah, my name is David, What happens if I miss a loan payment? Could you furnish me with relevant details?",Loan
fab323e7-94dc-4a18-9efe-13cb22c580f9,"Hi Sarah, my name is Emily,  Can I get a loan if I'm retired? Would it be possible for you to share some insights?",Loan
2bca6cfa-450e-45f2-93f4-804c62412316,"Hi Sarah, my name is Michael,  Can I get a loan if I'm a non-U.S. citizen? Might you be able to supply me with the necessary information?",Loan
6ae66d97-c341-4251-9e69-96852bf5fb3c,"Hi Sarah, my name is David, Can I get a loan for a vacation or travel expenses? I'm interested in obtaining some data. Could you assist me?",Loan
8e84120f-2c4b-46bc-a4d0-f875bf79987c,"Hi Sarah, my name is Emily,  What's the difference between a secured and an unsecured loan? Can you provide me with some information?",Loan
aab79dbc-5947-4079-9923-dc22ec33650d,"Hi Sarah, my name is Michael,  Can I get a loan for a down payment on a house? Could you furnish me with relevant details?",HomeLoan
6782ba77-667e-4c18-ba56-fd43a211d228,"Hi Sarah, my name is Alice. What's the difference between a loan from a bank and a credit union? Would it be possible for you to share some insights?",Loan
24c1d02b-f7ac-4725-aa62-4efe2327874a,"Hi Sarah, my name is David, Can I get a loan with no credit history? Might you be able to supply me with the necessary information?",Loan
901e6bf8-7212-4856-89fc-01a11343bae3,"Hi Sarah, my name is Emily,  Can I get a loan for a wedding or special event? Is there a chance I could obtain some particulars from you?",Loan
0c74c9ee-9928-40b6-9fc9-a5d202839d77,"Hi Sarah, my name is Michael,  Can I get a loan if I have previous loan defaults? I'm interested in obtaining some data. Could you assist me?",Loan
41ffe2c6-cb58-4e11-8b5d-73ae5c992134,"Hi Sarah, my name is Alice. Can I get a loan for a small personal business or startup? Can you provide me with some information?",Loan
ccc3e113-3077-4f1d-bb0c-fb0201839998,"Hi Sarah, my name is David, Can I get a loan if I have a low income? Could you furnish me with relevant details?",Loan
74d2c12b-6fb4-407d-b1cc-1ffc09f824d9,"Hi Sarah, my name is Emily,  Can I get a loan for investment or real estate purposes? Would it be possible for you to share some insights?",Loan
3c59b9f1-9ac3-45ac-845f-8344651734df,"Hi Sarah, my name is Michael,  Can I get a loan for education or tuition expenses? Might you be able to supply me with the necessary information?",Loan
59549445-02ff-4b5e-b2c1-f2d8df1187ac,"Hi Sarah, my name is Alice. Can I get a loan with no cosigner? Is there a chance I could obtain some particulars from you?",Loan
9c48d7c1-bce1-425b-8563-c95384c2c8e8,"Hi Sarah, my name is David, Can I get a loan for medical or healthcare expenses? I'm interested in obtaining some data. Could you assist me?",Loan
a7499f5e-778d-4516-a1fa-353685a416b8,"Hi Sarah, my name is Emily,  Can I get a loan for starting a new business? Can you provide me with some information?",Loan
5d89b802-c532-4098-a948-cd7cb6574f23,"Hi Sarah, my name is Michael,  Can I get a loan for debt consolidation if I have multiple debts? Could you furnish me with relevant details?",Loan
528d42c2-907e-4cb8-af3d-353e1a900fe6,"Hi Sarah, my name is Alice. What's the minimum credit score required to qualify for a loan? Would it be possible for you to share some insights?",Loan
d41f113d-4dd5-471c-8df9-6750ab21ec45,"Hi Sarah, my name is David, Can I get a loan if I've recently started a new job? Might you be able to supply me with the necessary information?",Loan
06e95f35-f5b2-45d3-b202-57a257c27992,"Hi Sarah, my name is Emily,  Can I get a loan with no income verification? Is there a chance I could obtain some particulars from you?",Loan
93bd2926-c931-4444-99f6-c814a8b99ea5,"Hi Sarah, my name is Michael,  Can I get a loan if I've filed for bankruptcy in the past? I'm interested in obtaining some data. Could you assist me?",Loan
3cf6ff13-de18-4089-af12-fa20ab497f8b,"Hi Sarah, my name is Alice. Can I get a loan for purchasing a boat or recreational vehicle? Can you provide me with some information?",Loan
5282d8da-2a13-44b4-b4b5-50be6b650079,"Hi Sarah, my name is David, Can I get a loan for home repairs or maintenance? Could you furnish me with relevant details?",HomeLoan
2bae2f88-a1cb-4540-94d4-1433a127aeb0,"Hi Sarah, my name is Michael,  Can I get a loan if I have a non-traditional source of income? Might you be able to supply me with the necessary information?",Loan
f6a7dba4-1d9f-4a10-9ac8-b17b2882c6c7,"Hi Sarah, my name is Alice. Can I get a loan for purchasing investment properties? Is there a chance I could obtain some particulars from you?",Loan
2187b533-f6ea-42f8-b9c5-21127bb6badc,"Hi Sarah, my name is David, Can I get a loan for purchasing land or vacant property? I'm interested in obtaining some data. Could you assist me?",Loan
fc3d2914-3f6a-48d0-8b1c-d6f31230244c,"Hi Sarah, my name is Emily,  Can I get a loan for purchasing a franchise or starting a new business? Can you provide me with some information?",Loan
4f04e61f-5104-4514-bc93-a35da5e5d26e,"Hi Sarah, my name is Michael,  Can I get a loan for refinancing my existing loans? Could you furnish me with relevant details?",Loan
280d8b4d-1c32-450b-838e-a15436ae338b,"Hi Sarah, my name is Alice. Can I get a loan for purchasing equipment or machinery for my business? Would it be possible for you to share some insights?",Loan
2fdff3fa-1551-4cae-8c46-2a59f9055c52,"Hi Sarah, my name is David, Can I get a loan for purchasing stocks, bonds, or other investments? Might you be able to supply me with the necessary information?",Loan
5fa0ed54-6106-4d2c-b9ad-d905e8d7c43b,"Hi Sarah, my name is Emily,  Can I get a loan for purchasing commercial real estate? Is there a chance I could obtain some particulars from you?",Loan
603ed20d-fec1-41d0-837a-507a3af69141,"Hi Sarah, my name is Michael,  Need info about house loan. I'm interested in obtaining some data. Could you assist me?",HomeLoan
a6e0655a-3e86-4a36-982b-8e510b49c11a,"Hi Sarah, my name is Alice. I am student, can I get a loan? Can you provide me with some information?",Loan
46406362-29ae-4d72-8b18-b379f44aadf3,"Hi Sarah, my name is David, I was lookin at business loans? How can I qualify Could you furnish me with relevant details?",Loan
2f7d8c25-d1b0-496e-b2a7-e4d8614631bf,"Hi Sarah, my name is Emily,  Hi, can I get a personal loan for $50000? Would it be possible for you to share some insights?",Loan
646f709b-111f-4598-9e79-7b4ebe12e93b,"Hi Sarah, my name is Michael,  Can I refinance my home loan? Might you be able to supply me with the necessary information?",HomeLoan
c545f199-607f-4a2d-ad8a-74057e9ec612,"Hi Sarah, my name is Alice. I'm unemployed. Can I get a loan? Is there a chance I could obtain some particulars from you?",Loan
41557d96-3ea4-457f-9961-d14ed11e7df0,"Hi Sarah, my name is David, What is intrest rate on car loan? I'm interested in obtaining some data. Could you assist me?",AutoLoan
acf3bfc1-2a02-4953-b8ba-86f7609656cb,"Hi Sarah, my name is Emily,  How quickly can I get a payday loan? Can you provide me with some information?",Loan
c12a59da-8079-4a1a-84f3-6b926e5cb6f5,"Hi Sarah, my name is Michael,  What is bad credit loan? Could you furnish me with relevant details?",Loan
9eb98389-b700-4ff4-be3d-e59110b3725e,"Hi Sarah, my name is Alice. Can I take two personal loans at same time? Would it be possible for you to share some insights?",Loan
05f35571-36f5-42f6-b01e-300e597b5812,"Hi Sarah, my name is David, Do I need collateral for a personal loan? Might you be able to supply me with the necessary information?",Loan
faec4932-3f9e-48a0-85c8-eb27e5165f29,"Hi Sarah, my name is Emily,  What are loan processing fees? Is there a chance I could obtain some particulars from you?",Loan
749e905e-94a1-45ba-806d-5f4c0333c0e5,"Hi Sarah, my name is Michael,  What is a loan tenure? I'm interested in obtaining some data. Could you assist me?",Loan
fc82e9d0-d582-4be8-a81c-ab5331989412,"Hi Sarah, my name is Alice. can i get a loan if I have bad credit? Can you provide me with some information?",Loan
edae27b0-2972-491e-b766-e17a6e648248,"Hi Sarah, my name is David, What's the difference between secured and unsecured loans? Could you furnish me with relevant details?",Loan
affb1a0f-2bfa-4e9a-b393-66312335ca7c,"Hi Sarah, my name is Emily,  What's the maximum loan amount I can get? Would it be possible for you to share some insights?",Loan
85a5c07b-e4a9-4f90-872f-7115a51e3367,"Hi Sarah, my name is Michael,  What does loan-to-value mean? Might you be able to supply me with the necessary information?",Loan
debd8d3a-f350-4672-acda-935979141de9,"Hi Sarah, my name is Alice. What happens if I don't repay my loan? Is there a chance I could obtain some particulars from you?",Loan
84a5b500-a582-4819-91d7-0153e5913427,"Hi Sarah, my name is David, Can I get loan for my small business startup? I'm interested in obtaining some data. Could you assist me?",Loan
1aeb235d-2de2-4ca9-aa97-e8b985ba9bbe,"Hi Sarah, my name is Emily,  What is the difference between a fixed rate and an adjustable rate loan? Can you provide me with some information?",Loan
93c56ad8-4fa1-4778-a810-d9cea809ada4,"Hi Sarah, my name is Alice. I need $3000 by tomorrow, can I get a loan? Would it be possible for you to share some insights?",Loan
db7a99cc-f676-47e4-adce-062aa4f92b7d,"Hi Sarah, my name is Emily,  What is a loan origination fee? Is there a chance I could obtain some particulars from you?",Loan
50d7fc4b-f97e-4dca-a29c-ce62d2042f58,"Hi Sarah, my name is Michael,  I heard about bridging loans. What are they? I'm interested in obtaining some data. Could you assist me?",Loan
8789234c-7fb3-4b35-a38a-125d36ea7d12,"Hi Sarah, my name is Alice. Can I get a loan without a job? Can you provide me with some information?",Loan
35fc0f94-bfdb-47cd-9a14-4798b9e2cd05,"Hi Sarah, my name is David, What is a payday loan? Could you furnish me with relevant details?",Loan
712a0702-516d-4e92-9a97-5ceebfb1effc,"Hi Sarah, my name is Emily,  Can I get a loan with a co-signer if I have bad credit? Would it be possible for you to share some insights?",Loan
09095b85-af52-4ea1-bfc8-4803bb2ed6a6,"Hi Sarah, my name is Michael,  What is a debt consolidation loan? Might you be able to supply me with the necessary information?",Loan
0345c334-5fd0-4694-8819-fb75667800fc,"Hi Sarah, my name is Alice. What's a mortgage loan? Is there a chance I could obtain some particulars from you?",HomeLoan
84b6586a-768e-444e-85c0-8b656a01f7a1,"Hi Sarah, my name is David, Can I get a loan for a car? I'm interested in obtaining some data. Could you assist me?",AutoLoan
a3c3890b-3e79-4c27-be11-57ded6415305,"Hi Sarah, my name is Emily,  What is a credit score and how does it affect loan approval? Can you provide me with some information?",Loan
6d4d98e7-495e-4493-8fd8-51cf36d7cddb,"Hi Sarah, my name is Michael,  What's a loan repayment schedule? Could you furnish me with relevant details?",Loan
002e2dae-a551-4552-85d2-bfc175c1c5ae,"Hi Sarah, my name is Alice. Can I get a loan if I'm self-employed? Would it be possible for you to share some insights?",Loan
67fd57f4-1400-4693-9f77-cb218f5eb4bc,"Hi Sarah, my name is David, What's a pre-approved loan? Might you be able to supply me with the necessary information?",Loan
80345f4b-84ea-4f6c-abae-b18882248407,"Hi Sarah, my name is Emily,  What is a home equity loan? Is there a chance I could obtain some particulars from you?",HomeLoan
999f7cef-921c-48e3-ba29-3bc9150299ae,"Hi Sarah, my name is Michael,  I need loan for tuition fees, any options? I'm interested in obtaining some data. Could you assist me?",Loan
84e8fb4b-d699-429a-b336-6abb944256f5,"Hi Sarah, my name is Alice. I need a loan for my wedding. Possible? Can you provide me with some information?",Loan
a4111755-37b3-4344-a76a-28b95b819e24,"Hi Sarah, my name is David, What is a personal loan? Could you furnish me with relevant details?",Loan
673f8fa6-fecc-4e7a-90c2-dff0cb6e57c6,"Hi Sarah, my name is Emily,  What is a loan term? Would it be possible for you to share some insights?",Loan
fa02d626-0eee-4178-aa21-4ffef864c69d,"Hi Sarah, my name is Michael,  What's the difference between interest rate and APR? Might you be able to supply me with the necessary information?",Loan
ea0c717c-6fb3-4d24-9003-18decbeef864,"Hi Sarah, my name is Alice. Can I get a loan to start a business? Is there a chance I could obtain some particulars from you?",Loan
ba6307a8-afd9-452f-ac8f-228916979e8f,"Hi Sarah, my name is Emily,  I have a small business. Can I get a loan? Can you provide me with some information?",Loan
9824e0a8-d0de-417e-a96b-2395c299ddb0,"Hi Sarah, my name is Michael,  Can I get a loan to pay off other debts? Could you furnish me with relevant details?",Loan
c9019507-8626-49d5-9366-ac27d22e0141,"Hi Sarah, my name is Alice. I'm a student, can I get a loan? Would it be possible for you to share some insights?",Loan
d1d901b4-94de-4f7a-8100-481492c4a4f6,"Hi Sarah, my name is David, Can I get a loan without a credit check? Might you be able to supply me with the necessary information?",Loan
cf443f5e-b946-4316-acb8-62342ff3fa47,"Hi Sarah, my name is Michael,  Hey, I need some information about business loans. I'm interested in obtaining some data. Could you assist me?",Loan
2cc6c770-7340-425b-823a-89412ed1eca2,"Hi Sarah, my name is David, Hi, I need some details about car loans. Can you help? Could you furnish me with relevant details?",AutoLoan
0befda34-123e-4953-9831-457924c85ba4,"Hi Sarah, my name is Emily,  Good day! Can you tell me more about student loans? Would it be possible for you to share some insights?",Loan
45e222b0-1127-468a-bef3-4f4b753500d6,"Hi Sarah, my name is Michael,  Hello, I am interested in a personal loan. Can you assist me? Might you be able to supply me with the necessary information?",Loan
957ad90b-2b3f-4859-8653-7141f1078f58,"Hi Sarah, my name is Alice. Hi, I'd like to learn more about your personal loan options. Is there a chance I could obtain some particulars from you?",Loan
86a5682a-a60d-48be-bc87-eff7b2fbd4a1,"Hi Sarah, my name is David, Hey, I am thinking about getting a business loan. What information do you need? I'm interested in obtaining some data. Could you assist me?",Loan
8c60c68f-0d8f-4b41-9ff8-2f1f8e865589,"Hi Sarah, my name is Emily,  Hi, I want to apply for a mortgage. What is the process? Can you provide me with some information?",Loan
91a54a94-7ca4-4a46-8f0b-5235a43687c8,"Hi Sarah, my name is Michael,  Hey, could you explain how a car loan works? Could you furnish me with relevant details?",AutoLoan
75de3527-5400-4d14-84f8-dd61d8773d99,"Hi Sarah, my name is Alice. Hi, I am planning to start a small business and need a loan for the same. Can you guide me? Would it be possible for you to share some insights?",Loan
6ce00b8a-bb23-423b-8f50-16cceb782ca1,"Hi Sarah, my name is David, Hello, I need a personal loan for home renovation. Can you help? Might you be able to supply me with the necessary information?",HomeLoan
1caad252-4802-46de-8a72-8e8329f2ec70,"Hi Sarah, my name is Emily,  Hey, I am thinking about a student loan. Can you assist me with this? Is there a chance I could obtain some particulars from you?",Loan
d93e62f1-8e6e-4b0d-8608-8398b3ead74d,"Hi Sarah, my name is Michael,  Hello, I want to apply for a loan to buy a new car. What are the terms and conditions? I'm interested in obtaining some data. Could you assist me?",AutoLoan
